"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"30-Jun-2025",85.5439,117.4683,100.4451,59.43
"27-Jun-2025",85.5594,117.5529,100.1992,59.3
"26-Jun-2025",85.7528,117.5076,100.1353,59.33
"25-Jun-2025",85.8732,117.0102,99.7646,59.16
"24-Jun-2025",86.1043,117.002,100.0308,59.33
"23-Jun-2025",86.808,116.6451,99.8969,58.96
"20-Jun-2025",86.6133,116.6774,99.756,59.58
"19-Jun-2025",86.6994,116.1581,99.339,59.69
"18-Jun-2025",86.303,116.1759,99.3394,59.53
"17-Jun-2025",86.0978,116.8537,99.5916,59.47
"16-Jul-2025",85.8051,115.0521,99.7307,57.7
"15-Jul-2025",85.8262,115.3458,100.2662,58.11
"14-Jul-2025",85.991,115.7009,100.2752,58.38
"11-Jul-2025",85.8536,116.2853,100.285,58.45
"10-Jul-2025",85.578,116.5025,100.4709,58.52
"09-Jul-2025",85.7979,116.5765,100.5277,58.38
"08-Jul-2025",85.7188,116.817,100.6064,58.65
"07-Jul-2025",85.815,116.7622,100.8629,59.15
"04-Jul-2025",85.3886,116.7769,100.5974,59.18
"03-Jul-2025",85.5121,116.659,100.8866,59.44
"02-Jul-2025",85.6928,117.731,101.041,59.61
"01-Jul-2025",85.6179,117.6476,100.8476,59.58